Running on host cs302.hpc.nyu.edu
Directory is /scratch/yz6994/HPC_finalproj_lbm
Slurm job ID is 33438420
==done==
index = 450, local_density = 0.100000, u_x = 0.000000
index = 451, local_density = 0.100000, u_x = 0.000000
index = 452, local_density = 0.100000, u_x = 0.000000
index = 453, local_density = 0.100000, u_x = 0.000000
index = 454, local_density = 0.100000, u_x = 0.000000
index = 455, local_density = 0.100000, u_x = 0.000000
index = 456, local_density = 0.100000, u_x = 0.000000
index = 457, local_density = 0.100000, u_x = 0.000000
index = 458, local_density = 0.100000, u_x = 0.000000
index = 459, local_density = 0.100000, u_x = 0.000000
index = 460, local_density = 0.100000, u_x = 0.000000
index = 461, local_density = 0.100000, u_x = 0.000000
index = 462, local_density = 0.100000, u_x = 0.000000
index = 463, local_density = 0.100000, u_x = 0.000000
index = 464, local_density = 0.100000, u_x = 0.000000
index = 465, local_density = 0.100000, u_x = 0.000000
index = 466, local_density = 0.100000, u_x = 0.000000
index = 467, local_density = 0.100000, u_x = 0.000000
index = 468, local_density = 0.100000, u_x = 0.000000
index = 469, local_density = 0.100000, u_x = 0.000000
index = 470, local_density = 0.100000, u_x = 0.000000
index = 471, local_density = 0.100000, u_x = 0.000000
index = 472, local_density = 0.100000, u_x = 0.000000
index = 473, local_density = 0.100000, u_x = 0.000000
index = 474, local_density = 0.100000, u_x = 0.000000
index = 475, local_density = 0.100000, u_x = 0.000000
index = 476, local_density = 0.100000, u_x = 0.000000
index = 477, local_density = 0.100000, u_x = 0.000000
index = 478, local_density = 0.100000, u_x = 0.000000
index = 479, local_density = 0.100000, u_x = 0.000000
index = 480, local_density = 0.100000, u_x = 0.000000
index = 481, local_density = 0.100000, u_x = 0.000000
index = 482, local_density = 0.100000, u_x = 0.000000
index = 483, local_density = 0.100000, u_x = 0.000000
index = 484, local_density = 0.100000, u_x = 0.000000
index = 485, local_density = 0.100000, u_x = 0.000000
index = 486, local_density = 0.100000, u_x = 0.000000
index = 487, local_density = 0.100000, u_x = 0.000000
index = 488, local_density = 0.100000, u_x = 0.000000
index = 489, local_density = 0.100000, u_x = 0.000000
index = 490, local_density = 0.100000, u_x = 0.000000
index = 491, local_density = 0.100000, u_x = 0.000000
index = 492, local_density = 0.100000, u_x = 0.000000
index = 493, local_density = 0.100000, u_x = 0.000000
index = 494, local_density = 0.100000, u_x = 0.000000
index = 495, local_density = 0.100000, u_x = 0.000000
index = 496, local_density = 0.100000, u_x = 0.000000
index = 497, local_density = 0.100000, u_x = 0.000000
index = 498, local_density = 0.100000, u_x = 0.000000
index = 499, local_density = 0.100000, u_x = 0.000000
index = 500, local_density = 0.100000, u_x = 0.000000
index = 501, local_density = 0.100000, u_x = 0.000000
index = 502, local_density = 0.100000, u_x = 0.000000
index = 503, local_density = 0.100000, u_x = 0.000000
index = 504, local_density = 0.100000, u_x = 0.000000
index = 505, local_density = 0.100000, u_x = 0.000000
index = 506, local_density = 0.100000, u_x = 0.000000
index = 507, local_density = 0.100000, u_x = 0.000000
index = 508, local_density = 0.100000, u_x = 0.000000
index = 509, local_density = 0.100000, u_x = 0.000000
index = 510, local_density = 0.100000, u_x = 0.000000
index = 511, local_density = 0.100000, u_x = 0.000000
index = 512, local_density = 0.100000, u_x = 0.000000
index = 513, local_density = 0.100000, u_x = 0.000000
index = 514, local_density = 0.100000, u_x = 0.000000
index = 515, local_density = 0.100000, u_x = 0.000000
index = 516, local_density = 0.100000, u_x = 0.000000
index = 517, local_density = 0.100000, u_x = 0.000000
index = 518, local_density = 0.100000, u_x = 0.000000
index = 519, local_density = 0.100000, u_x = 0.000000
index = 520, local_density = 0.100000, u_x = 0.000000
index = 521, local_density = 0.100000, u_x = 0.000000
index = 522, local_density = 0.100000, u_x = 0.000000
index = 523, local_density = 0.100000, u_x = 0.000000
index = 524, local_density = 0.100000, u_x = 0.000000
index = 525, local_density = 0.100000, u_x = 0.000000
index = 526, local_density = 0.100000, u_x = 0.000000
index = 527, local_density = 0.100000, u_x = 0.000000
index = 528, local_density = 0.100000, u_x = 0.000000
index = 529, local_density = 0.100000, u_x = 0.000000
index = 530, local_density = 0.100000, u_x = 0.000000
index = 531, local_density = 0.100000, u_x = 0.000000
index = 532, local_density = 0.100000, u_x = 0.000000
index = 533, local_density = 0.100000, u_x = 0.000000
index = 534, local_density = 0.100000, u_x = 0.000000
index = 535, local_density = 0.100000, u_x = 0.000000
index = 536, local_density = 0.100000, u_x = 0.000000
index = 537, local_density = 0.100000, u_x = 0.000000
index = 538, local_density = 0.100000, u_x = 0.000000
index = 539, local_density = 0.100000, u_x = 0.000000
index = 540, local_density = 0.100000, u_x = 0.000000
index = 541, local_density = 0.100000, u_x = 0.000000
index = 542, local_density = 0.100000, u_x = 0.000000
index = 543, local_density = 0.100000, u_x = 0.000000
index = 544, local_density = 0.100000, u_x = 0.000000
index = 545, local_density = 0.100000, u_x = 0.000000
index = 546, local_density = 0.100000, u_x = 0.000000
index = 547, local_density = 0.100000, u_x = 0.000000
index = 548, local_density = 0.100000, u_x = 0.000000
index = 549, local_density = 0.100000, u_x = 0.000000
index = 550, local_density = 0.100000, u_x = 0.000000
index = 551, local_density = 0.100000, u_x = 0.000000
index = 552, local_density = 0.100000, u_x = 0.000000
index = 553, local_density = 0.100000, u_x = 0.000000
index = 554, local_density = 0.100000, u_x = 0.000000
index = 555, local_density = 0.100000, u_x = 0.000000
index = 556, local_density = 0.100000, u_x = 0.000000
index = 557, local_density = 0.100000, u_x = 0.000000
index = 558, local_density = 0.100000, u_x = 0.000000
index = 559, local_density = 0.100000, u_x = 0.000000
index = 560, local_density = 0.100000, u_x = 0.000000
index = 561, local_density = 0.100000, u_x = 0.000000
index = 562, local_density = 0.100000, u_x = 0.000000
index = 563, local_density = 0.100000, u_x = 0.000000
index = 564, local_density = 0.100000, u_x = 0.000000
index = 565, local_density = 0.100000, u_x = 0.000000
index = 566, local_density = 0.100000, u_x = 0.000000
index = 567, local_density = 0.100000, u_x = 0.000000
index = 568, local_density = 0.100000, u_x = 0.000000
index = 569, local_density = 0.100000, u_x = 0.000000
index = 570, local_density = 0.100000, u_x = 0.000000
index = 571, local_density = 0.100000, u_x = 0.000000
index = 572, local_density = 0.100000, u_x = 0.000000
index = 573, local_density = 0.100000, u_x = 0.000000
index = 574, local_density = 0.100000, u_x = 0.000000
index = 575, local_density = 0.100000, u_x = 0.000000
index = 576, local_density = 0.100000, u_x = 0.000000
index = 577, local_density = 0.100000, u_x = 0.000000
index = 578, local_density = 0.100000, u_x = 0.000000
index = 579, local_density = 0.100000, u_x = 0.000000
index = 580, local_density = 0.100000, u_x = 0.000000
index = 581, local_density = 0.100000, u_x = 0.000000
index = 582, local_density = 0.100000, u_x = 0.000000
index = 583, local_density = 0.100000, u_x = 0.000000
index = 584, local_density = 0.100000, u_x = 0.000000
index = 585, local_density = 0.100000, u_x = 0.000000
index = 586, local_density = 0.100000, u_x = 0.000000
index = 587, local_density = 0.100000, u_x = 0.000000
index = 588, local_density = 0.100000, u_x = 0.000000
index = 589, local_density = 0.100000, u_x = 0.000000
index = 590, local_density = 0.100000, u_x = 0.000000
index = 591, local_density = 0.100000, u_x = 0.000000
index = 592, local_density = 0.100000, u_x = 0.000000
index = 593, local_density = 0.100000, u_x = 0.000000
index = 594, local_density = 0.100000, u_x = 0.000000
index = 595, local_density = 0.100000, u_x = 0.000000
index = 596, local_density = 0.100000, u_x = 0.000000
index = 597, local_density = 0.100000, u_x = 0.000000
index = 598, local_density = 0.100000, u_x = 0.000000
index = 599, local_density = 0.100000, u_x = 0.000000
index = 600, local_density = 0.100000, u_x = 0.000000
index = 601, local_density = 0.100000, u_x = 0.000000
index = 602, local_density = 0.100000, u_x = 0.000000
index = 603, local_density = 0.100000, u_x = 0.000000
index = 604, local_density = 0.100000, u_x = 0.000000
index = 605, local_density = 0.100000, u_x = 0.000000
index = 606, local_density = 0.100000, u_x = 0.000000
index = 607, local_density = 0.100000, u_x = 0.000000
index = 608, local_density = 0.100000, u_x = 0.000000
index = 609, local_density = 0.100000, u_x = 0.000000
index = 610, local_density = 0.100000, u_x = 0.000000
index = 611, local_density = 0.100000, u_x = 0.000000
index = 612, local_density = 0.100000, u_x = 0.000000
index = 613, local_density = 0.100000, u_x = 0.000000
index = 614, local_density = 0.100000, u_x = 0.000000
index = 615, local_density = 0.100000, u_x = 0.000000
